Wetland,asset_precip_3m,subwetland,year,asset_precip_3m_scaled,asset_precip_3m_scaled_lagged,asset_precip,asset_precip_annual_scaled,asset_precip_annual_scaled_lagged
Burrendong Dam,2971.7136942994352,,2017,1.9699108288391283,-0.5987886180459073,5156.196874642372,-1.2705722383567144,1.2085897120202087
Burrendong Dam,696.1790449151806,,2018,-1.3348467797325438,1.9699108288391283,5162.352525937791,-1.2660910995681978,-1.2705722383567144
Burrendong Dam,996.3215528240391,,2019,-0.8989499952401675,-1.3348467797325438,5701.752699707068,-0.8734231388263557,-1.2660910995681978
Burrendong Dam,825.4213992081436,,2020,-1.1471481859910864,-0.8989499952401675,7052.372505555433,0.10978960505175413,-0.8734231388263557
Burrendong Dam,1617.0701547014944,,2021,0.002562827524298089,-1.1471481859910864,8623.95697230124,1.253858327496389,0.10978960505175413
Burrendong Dam,1810.8322488971783,,2022,0.2839634008881176,0.002562827524298089,10611.636306139068,2.700832259990251,1.253858327496389
Burrendong Dam,3139.1851264495476,,2023,2.213129489458618,0.2839634008881176,6234.073242870967,-0.48590894748950547,2.700832259990251
Burrendong Dam,814.9370672197903,,2024,-1.1623745750591137,2.213129489458618,8185.98235890024,0.9350252854172645,-0.48590894748950547
Burrendong Dam,1468.0809104503367,,2025,-0.2138141626778023,-1.1623745750591137,7015.177589765717,0.0827127659194041,0.9350252854172645
Coolmunda Dam,50.04936034352172,,1982,-0.14705963490475263,NA,339.98980909422335,-0.20289459623801198,NA
Coolmunda Dam,44.13291692359775,,1983,-0.3679072821269675,-0.14705963490475263,443.1438529407277,1.1946861116277052,-0.20289459623801198
Coolmunda Dam,71.1483881300571,,1984,0.640520050154139,-0.3679072821269675,448.90951599770904,1.2728020938618256,1.1946861116277052
Coolmunda Dam,109.32291547527501,,1985,2.0654900785364636,0.640520050154139,291.479806469936,-0.8601314943580923,1.2728020938618256
Coolmunda Dam,69.97329437779446,,1986,0.5966564192473023,2.0654900785364636,350.9340505819695,-0.05461673726955904,-0.8601314943580923
Coolmunda Dam,71.45791064150194,,1987,0.6520738356910221,0.5966564192473023,360.9763927987978,0.0814417556472005,-0.05461673726955904
Coolmunda Dam,51.92537460420647,,1988,-0.07703220352049822,0.6520738356910221,398.6397731350918,0.5917233867710321,0.0814417556472005
Coolmunda Dam,81.46647300766963,,1989,1.0256711633019642,-0.07703220352049822,313.86767583594605,-0.5568098488905424,0.5917233867710321
Coolmunda Dam,35.1283384365194,,1990,-0.7040281290537143,1.0256711633019642,461.58325517224335,1.44451202113533,-0.5568098488905424
Coolmunda Dam,36.78687911968605,,1991,-0.6421185016471217,-0.7040281290537143,262.8925453466528,-1.2474454875552108,1.44451202113533
Coolmunda Dam,32.190138386277596,,1992,-0.8137045887286104,-0.6421185016471217,370.3419404375787,0.20833070939519358,-1.2474454875552108
Coolmunda Dam,53.72911804283367,,1993,-0.009702480857749638,-0.8137045887286104,280.21600349790907,-1.0127389263491249,0.20833070939519358
Coolmunda Dam,61.02486592320835,,1994,0.26263152789508226,-0.009702480857749638,259.8213182341819,-1.2890559528536,-1.0127389263491249
Coolmunda Dam,25.69380526636161,,1995,-1.0561982260840796,0.26263152789508226,335.0894126597573,-0.2692875291984954,-1.2890559528536
Coolmunda Dam,37.02139305928175,,1996,-0.6333646189299963,-1.0561982260840796,574.6275108762816,2.976090086480916,-0.2692875291984954
Coolmunda Dam,82.62940550271202,,1997,1.0690808415798763,-0.6333646189299963,325.2015457733005,-0.40325311587989965,2.976090086480916
Coolmunda Dam,42.617274248366265,,1998,-0.4244828453660659,1.0690808415798763,482.70401171889966,1.7306662113584377,-0.40325311587989965
Coolmunda Dam,129.451305753577,,1999,2.816838028618038,-0.4244828453660659,351.277013983446,-0.04997010379272848,1.7306662113584377
Coolmunda Dam,55.77953424687479,,2000,0.06683498639222961,2.816838028618038,302.89407086185383,-0.7054855385256634,-0.04997010379272848
Coolmunda Dam,31.633900779368833,,2001,-0.8344676989391521,0.06683498639222961,316.4303354819616,-0.5220897007650193,-0.7054855385256634
