"year","inundated_area","wetland_name","wetland_surface_water","wetland_surface_water_lagged"
2012,156078000,"lake cowal and nerang cowal",1.2513728081767,0.808426153860956
2013,114013800,"lake cowal and nerang cowal",0.533111671951835,1.2513728081767
2014,59536800,"lake cowal and nerang cowal",-0.39710242740396,0.533111671951835
2015,38202300,"lake cowal and nerang cowal",-0.761396582785245,-0.39710242740396
2016,181786500,"lake cowal and nerang cowal",1.69035456512529,-0.761396582785245
2017,141064200,"lake cowal and nerang cowal",0.995006847405953,1.69035456512529
2018,85772700,"lake cowal and nerang cowal",0.0508848716266159,0.995006847405953
2019,360000,"lake cowal and nerang cowal",-1.40756727889648,0.0508848716266159
2020,70738200,"lake cowal and nerang cowal",-0.20583454898694,-1.40756727889648
2021,157055400,"lake cowal and nerang cowal",1.26806225988495,-0.20583454898694
2022,185673600,"lake cowal and nerang cowal",1.75672817647698,1.26806225988495
2023,150682500,"lake cowal and nerang cowal",1.15924273175777,1.75672817647698
2024,116794800,"lake cowal and nerang cowal",0.58059823344216,1.15924273175777
1987,120268800,"lindsay-walpolla-chowilla",-0.577951985112797,NA
1988,155187000,"lindsay-walpolla-chowilla",-0.374895326868745,-0.577951985112797
1989,387473400,"lindsay-walpolla-chowilla",0.975898818864458,-0.374895326868745
